repo,pr_number,pr_url,merged_at,title,files_top3,files_count,current_domain,true_domain,suggested_pattern,notes
vuejs/core,13915,https://github.com/vuejs/core/pull/13915,2025-09-24T09:04:51Z,fix(types): set dom stub type to `never` instead of `{}`,packages/runtime-dom/src/index.ts,1,general,,,
vuejs/core,13825,https://github.com/vuejs/core/pull/13825,2025-09-24T08:56:15Z,fix(runtime-vapor): setting innerHTML should go through trusted types,packages/runtime-dom/src/index.ts; packages/runtime-vapor/src/dom/prop.ts,2,general,,,
vuejs/core,13823,https://github.com/vuejs/core/pull/13823,2025-08-29T07:48:41Z,fix(vapor): handle next host node for vapor component,packages/runtime-core/src/renderer.ts,1,general,,,
vuejs/core,13817,https://github.com/vuejs/core/pull/13817,2025-09-02T09:10:30Z,fix(hmr): prevent __VUE_HMR_RUNTIME__ from being overwritten by vue runtime in 3rd-party libraries,packages/runtime-core/src/hmr.ts,1,general,,,
vuejs/core,13806,https://github.com/vuejs/core/pull/13806,2025-08-25T06:52:50Z,fix(runtime-dom): add name to vShow for prop mismatch check,packages/runtime-dom/src/directives/vShow.ts,1,general,,,
vuejs/core,13777,https://github.com/vuejs/core/pull/13777,2025-08-20T12:41:07Z,fix(hydration): also set vShow name if __FEATURE_PROD_HYDRATION_MISMATCH_DETAILS__ flag is enabled,packages/runtime-dom/src/directives/vShow.ts,1,general,,,
vuejs/core,13761,https://github.com/vuejs/core/pull/13761,2025-09-24T09:04:15Z,fix(reactivity): update iterator to check for completion instead of value presence,packages/reactivity/src/arrayInstrumentations.ts,1,general,,,
vuejs/core,13759,https://github.com/vuejs/core/pull/13759,2025-08-21T09:52:55Z,fix(reactivity): optimize size retrieval in createInstrumentations,packages/reactivity/src/collectionHandlers.ts,1,general,,,
vuejs/core,13758,https://github.com/vuejs/core/pull/13758,2025-09-24T09:12:25Z,fix(types): widen directive arg type from string to any,packages-private/dts-test/directives.test-d.ts; packages/runtime-core/src/apiCreateApp.ts; packages/runtime-core/src/directives.ts,3,general,,,
vuejs/core,13722,https://github.com/vuejs/core/pull/13722,2025-10-20T02:18:07Z,fix(vapor): avoid unnecessary block movement in renderList,packages/runtime-vapor/src/apiCreateFor.ts,1,general,,,
vuejs/core,13701,https://github.com/vuejs/core/pull/13701,2025-07-25T00:48:57Z,fix(devtools): clear performance measures,packages/runtime-core/src/profiling.ts,1,general,,,
vuejs/core,13654,https://github.com/vuejs/core/pull/13654,2025-07-18T07:28:01Z,fix(reactivity): remove link check to align with 3.5,packages/reactivity/src/system.ts,1,general,,,
vuejs/core,13652,https://github.com/vuejs/core/pull/13652,2025-07-18T07:26:05Z,fix(runtime-core): ensure HMR correctly checks if component is vapor,packages/runtime-core/src/hmr.ts,1,general,,,
vuejs/core,13605,https://github.com/vuejs/core/pull/13605,2025-07-10T09:14:59Z,fix(reactivity): add back STOP flag,packages/reactivity/src/effect.ts; packages/reactivity/src/effectScope.ts,2,general,,,
vuejs/core,13590,https://github.com/vuejs/core/pull/13590,2025-07-09T00:43:57Z,fix(parse): make 'vapor' property optional,packages/compiler-sfc/src/parse.ts,1,general,,,
vuejs/core,13589,https://github.com/vuejs/core/pull/13589,2025-07-10T02:08:14Z,fix(type): remove internal for refs,packages/runtime-core/src/component.ts,1,general,,,
vuejs/core,13587,https://github.com/vuejs/core/pull/13587,2025-07-09T00:44:24Z,fix(scheduler): improve error handling in job flushing,packages/runtime-core/src/scheduler.ts,1,general,,,
vuejs/core,13580,https://github.com/vuejs/core/pull/13580,2025-07-09T00:45:09Z,fix(devtools): allow setting devtools hook after createApp,packages/runtime-core/src/devtools.ts,1,general,,,
vuejs/core,13525,https://github.com/vuejs/core/pull/13525,2025-06-26T06:46:21Z,fix(compiler-sfc): always use defineComponent in SSR mode,packages/compiler-sfc/src/compileScript.ts,1,general,,,
vuejs/core,13502,https://github.com/vuejs/core/pull/13502,2025-06-26T07:34:47Z,fix(runtime-vapor): ensure props are shallow reactive in VDOM component,packages/runtime-vapor/src/vdomInterop.ts,1,general,,,
vuejs/core,13343,https://github.com/vuejs/core/pull/13343,2025-06-05T01:36:47Z,fix(types): typo of `vOnce` and `vSlot`,packages/runtime-dom/src/index.ts,1,general,,,
vuejs/core,13223,https://github.com/vuejs/core/pull/13223,2025-05-01T09:54:40Z,fix(runtime-core):  update __vnode of static nodes when patching along the optimized path,packages/runtime-core/src/renderer.ts,1,general,,,
vuejs/core,13210,https://github.com/vuejs/core/pull/13210,2025-05-01T09:56:42Z,fix(runtime-core):  stop tracking deps in setRef during unmount,packages/runtime-core/src/renderer.ts,1,general,,,
vuejs/core,13197,https://github.com/vuejs/core/pull/13197,2025-04-14T09:08:06Z,fix(compiler-sfc): treat the return value of `useTemplateRef` as a definite ref,packages/compiler-sfc/src/compileScript.ts,1,general,,,
vuejs/core,13119,https://github.com/vuejs/core/pull/13119,2026-03-06T07:34:23Z,fix(types): make generics with runtime props in defineComponent work (fix #11374),packages-private/dts-test/defineComponent.test-d.tsx; packages/runtime-core/src/apiDefineComponent.ts,2,general,,,
vuejs/core,13078,https://github.com/vuejs/core/pull/13078,2025-03-31T06:36:02Z,fix(reactivity): queuing effects in an array,packages/reactivity/src/computed.ts; packages/reactivity/src/system.ts,2,general,,,
vuejs/core,13043,https://github.com/vuejs/core/pull/13043,2025-03-17T00:18:10Z,fix(compiler): fix spelling error in domTagConfig,scripts/verify-treeshaking.js,1,general,,,
vuejs/core,13007,https://github.com/vuejs/core/pull/13007,2025-05-22T00:03:33Z,fix(types): exclude `undefined` from inferred prop types with default values,packages-private/dts-test/defineComponent.test-d.tsx; packages/runtime-core/src/componentProps.ts,2,general,,,
vuejs/core,13001,https://github.com/vuejs/core/pull/13001,2025-03-31T06:31:11Z,fix: always treat autocorrect as attribute,packages/runtime-dom/src/patchProp.ts,1,general,,,
vuejs/core,12948,https://github.com/vuejs/core/pull/12948,2025-03-14T00:19:06Z,fix(customFormatter): properly accessing ref value during debugger,packages/runtime-core/src/customFormatter.ts,1,general,,,
vuejs/core,12870,https://github.com/vuejs/core/pull/12870,2025-05-20T00:44:35Z,fix(types): avoid merging component instance into `$props` in `ComponentInstance`,packages-private/dts-test/componentInstance.test-d.tsx; packages/runtime-core/src/component.ts,2,general,,,
vuejs/core,12820,https://github.com/vuejs/core/pull/12820,2025-02-28T09:02:11Z,fix(vapor): handle next host node for vapor component,packages/runtime-core/src/renderer.ts,1,general,,,
vuejs/core,12605,https://github.com/vuejs/core/pull/12605,2025-03-19T03:39:00Z,fix(types): the directive's modifiers should be optional,packages-private/dts-test/appDirective.test-d.ts; packages-private/dts-test/directives.test-d.ts; packages/runtime-core/src/directives.ts,3,general,,,
vuejs/core,12556,https://github.com/vuejs/core/pull/12556,2025-07-18T08:22:56Z,fix(compiler-core): avoid self updates of `v-pre`,packages/compiler-core/src/parser.ts; packages/compiler-core/src/utils.ts,2,general,,,
vuejs/core,12554,https://github.com/vuejs/core/pull/12554,2025-07-18T07:56:01Z,fix(compiler-core): transform empty `v-bind` dynamic argument content correctly,packages/compiler-core/src/transforms/vBind.ts,1,general,,,
vuejs/core,12553,https://github.com/vuejs/core/pull/12553,2025-07-18T07:58:50Z,fix(compiler-core): recognize empty string as non-identifier,packages/compiler-core/src/utils.ts,1,general,,,
vuejs/core,12343,https://github.com/vuejs/core/pull/12343,2024-11-15T02:46:59Z,fix(types): defineEmits w/ interface declaration,packages-private/dts-test/setupHelpers.test-d.ts; packages/runtime-core/src/apiSetupHelpers.ts,2,general,,,
vuejs/core,12163,https://github.com/vuejs/core/pull/12163,2024-10-14T00:18:19Z,fix(runtime-core): use feature flag for call to `resolveMergedOptions`,packages/runtime-core/src/component.ts,1,general,,,
vuejs/core,12131,https://github.com/vuejs/core/pull/12131,2024-10-11T03:07:07Z,fix(compiler): clone loc to `ifNode`,packages/compiler-core/src/parser.ts; packages/compiler-core/src/transforms/vIf.ts,2,general,,,
vuejs/core,12123,https://github.com/vuejs/core/pull/12123,2024-10-11T02:30:10Z,fix(types): ensure `this.$props` type does not include `string`,packages-private/dts-test/defineComponent.test-d.tsx; packages/runtime-core/src/apiDefineComponent.ts,2,general,,,
vuejs/core,12108,https://github.com/vuejs/core/pull/12108,2024-10-11T03:17:15Z,fix(types): retain union type narrowing with defaults applied,packages-private/dts-test/setupHelpers.test-d.ts; packages/runtime-core/src/apiSetupHelpers.ts,2,general,,,
vuejs/core,12094,https://github.com/vuejs/core/pull/12094,2024-10-03T15:22:57Z,fix(types): infer the first generic type of `Ref` correctly,packages/reactivity/src/reactive.ts; packages/reactivity/src/ref.ts,2,general,,,
vuejs/core,12077,https://github.com/vuejs/core/pull/12077,2024-10-03T15:24:09Z,fix(types): should not intersect `PublicProps` with `Props`,packages/runtime-core/src/apiDefineComponent.ts,1,general,,,
vuejs/core,12073,https://github.com/vuejs/core/pull/12073,2024-10-03T15:22:27Z,fix(types): correctly infer `TypeProps` when it is `any`,packages/runtime-core/src/apiDefineComponent.ts; packages/shared/src/typeUtils.ts,2,general,,,
vuejs/core,12062,https://github.com/vuejs/core/pull/12062,2024-09-28T01:56:09Z,fix(compiler-sfc): not skip `TSSatisfiesExpression`,packages/compiler-sfc/src/script/definePropsDestructure.ts,1,general,,,
vuejs/core,12049,https://github.com/vuejs/core/pull/12049,2024-09-27T02:23:01Z,fix(types/ref): handle nested refs in UnwrapRef,packages-private/dts-test/ref.test-d.ts; packages/reactivity/src/ref.ts,2,general,,,
vuejs/core,12022,https://github.com/vuejs/core/pull/12022,2024-09-26T09:00:05Z,fix(types): correct type inference of union event names,packages/runtime-core/src/componentEmits.ts,1,general,,,
vuejs/core,12019,https://github.com/vuejs/core/pull/12019,2024-09-26T09:05:38Z,fix(vue): properly cache runtime compilation,packages/compiler-sfc/src/parse.ts; packages/shared/src/general.ts; packages/vue-compat/src/index.ts,4,general,,,
vuejs/core,12007,https://github.com/vuejs/core/pull/12007,2024-09-24T10:02:01Z,fix(reactivity): optimising getDepFromReactive,packages/reactivity/src/dep.ts,1,general,,,
vuejs/core,11986,https://github.com/vuejs/core/pull/11986,2024-09-20T12:48:15Z,fix(reactivity): fix triggerRef to handle ObjectRefImpl instances,packages/reactivity/src/ref.ts,1,general,,,
vuejs/core,11970,https://github.com/vuejs/core/pull/11970,2024-09-20T08:44:49Z,fix(sfc-playground): resolve autosave conflict issue,packages-private/sfc-playground/src/App.vue,1,general,,,
vuejs/core,11963,https://github.com/vuejs/core/pull/11963,2024-09-20T08:44:14Z,fix(compiler-sfc): initialize scope with null prototype object,packages/compiler-sfc/src/script/definePropsDestructure.ts,1,general,,,
vuejs/core,11944,https://github.com/vuejs/core/pull/11944,2024-09-16T08:00:31Z,fix(reactivity): avoid exponential perf cost and reduce call stack depth for deeply chained computeds,packages/reactivity/src/computed.ts; packages/reactivity/src/dep.ts; packages/reactivity/src/effect.ts,3,general,,,
vuejs/core,11935,https://github.com/vuejs/core/pull/11935,2024-10-11T03:22:01Z,fix(hydration): provide compat fallback for idle callback,packages/runtime-core/src/hydrationStrategies.ts,1,general,,,
vuejs/core,11840,https://github.com/vuejs/core/pull/11840,2024-09-06T08:10:56Z,fix(runtime-core): correctly infer `TypeEmits` with both tuple and function syntax,packages/runtime-core/src/componentEmits.ts,1,general,,,
vuejs/core,11826,https://github.com/vuejs/core/pull/11826,2024-09-05T12:51:26Z,fix(scheduler): prevent duplicate jobs being queued,packages/runtime-core/src/scheduler.ts,1,general,,,
vuejs/core,11825,https://github.com/vuejs/core/pull/11825,2024-09-06T03:20:41Z,fix(Hydration): implement proper check for __asyncHydrate,packages/runtime-core/src/renderer.ts,1,general,,,
vuejs/core,11823,https://github.com/vuejs/core/pull/11823,2024-09-05T09:53:05Z,fix(typo): added name attribute support to details tag,packages-private/dts-test/tsx.test-d.tsx; packages/runtime-dom/src/jsx.ts,2,general,,,
vuejs/core,11699,https://github.com/vuejs/core/pull/11699,2024-09-03T09:47:50Z,fix(types/defineModel): allow getter and setter types to be unrelated,packages-private/dts-test/setupHelpers.test-d.ts; packages/runtime-core/src/apiSetupHelpers.ts; packages/runtime-core/src/helpers/useModel.ts,3,general,,,
vuejs/core,11644,https://github.com/vuejs/core/pull/11644,2024-09-20T12:36:57Z,fix(runtime-core): correct type inference of all-optional props,packages/runtime-core/src/apiDefineComponent.ts; packages/runtime-core/src/componentProps.ts,2,general,,,
vuejs/core,11608,https://github.com/vuejs/core/pull/11608,2024-08-14T07:11:10Z,fix(types/computed): ensure type safety for `WritableComputedRef`,packages-private/dts-test/ref.test-d.ts; packages/reactivity/src/computed.ts; packages/runtime-core/src/apiComputed.ts,3,general,,,
vuejs/core,11598,https://github.com/vuejs/core/pull/11598,2024-08-13T14:06:10Z,fix(types): add fallback stub for DOM types when DOM lib is absent,packages/runtime-dom/src/index.ts,1,general,,,
vuejs/core,11579,https://github.com/vuejs/core/pull/11579,2024-08-15T09:49:43Z,fix(runtime-core): correct type inference for PascalCase emits,packages-private/dts-test/defineComponent.test-d.tsx; packages/runtime-core/src/componentEmits.ts,2,general,,,
vuejs/core,11578,https://github.com/vuejs/core/pull/11578,2024-08-15T02:28:41Z,fix(types/custom-element): `defineCustomElement` with required props,packages/dts-test/defineCustomElement.test-d.ts; packages/runtime-dom/src/apiCustomElement.ts,2,general,,,
vuejs/core,11547,https://github.com/vuejs/core/pull/11547,2024-08-08T09:13:25Z,fix(compiler-core): initialize `isProp.exp` with `arg.loc` instead of `isProp.loc`,packages/compiler-core/src/transforms/transformElement.ts,1,general,,,
vuejs/core,11540,https://github.com/vuejs/core/pull/11540,2024-08-07T09:02:15Z,fix(types): allow `DirectiveArguments` third parameter to accept undefined,packages/runtime-core/src/directives.ts,1,general,,,
vuejs/core,11538,https://github.com/vuejs/core/pull/11538,2024-08-07T03:51:44Z,fix(runtime-dom): cssvars correctly handles execution time,packages/runtime-dom/src/helpers/useCssVars.ts,1,general,,,
vuejs/core,11536,https://github.com/vuejs/core/pull/11536,2024-08-07T03:20:04Z,fix(types/ref): correct type inference for nested refs,packages/dts-test/ref.test-d.ts; packages/reactivity/src/ref.ts,2,general,,,
vuejs/core,11490,https://github.com/vuejs/core/pull/11490,2024-08-05T02:59:44Z,fix(types/withDefaults): ensure default values of type `any` do not include `undefined`,packages/dts-test/setupHelpers.test-d.ts; packages/runtime-core/src/apiSetupHelpers.ts,2,general,,,
vuejs/core,11442,https://github.com/vuejs/core/pull/11442,2024-07-29T02:52:38Z,fix(types/ref): allow getter and setter types to be unrelated,packages/dts-test/ref.test-d.ts; packages/dts-test/watch.test-d.ts; packages/reactivity/src/ref.ts,4,general,,,
vuejs/core,11384,https://github.com/vuejs/core/pull/11384,2024-08-05T03:14:36Z,fix(types): `defineCustomElement` props inference with array emits,packages/dts-test/defineCustomElement.test-d.ts; packages/runtime-dom/src/apiCustomElement.ts,2,general,,,
vuejs/core,11048,https://github.com/vuejs/core/pull/11048,2024-06-04T12:12:43Z,fix(server-renderer): avoid using `s` regex flag,packages/server-renderer/src/helpers/ssrRenderSlot.ts,1,general,,,
vuejs/core,11041,https://github.com/vuejs/core/pull/11041,2024-05-31T09:08:54Z,fix(compiler-sfc): throw error when import macro as alias,packages/compiler-sfc/src/compileScript.ts,1,general,,,
vuejs/core,11011,https://github.com/vuejs/core/pull/11011,2024-05-27T08:15:54Z,fix(compiler-core): make `ForIteratorExpression`'s `returns` property optional,packages/compiler-core/src/ast.ts,1,general,,,
vuejs/core,10963,https://github.com/vuejs/core/pull/10963,2024-05-20T11:33:18Z,fix(compiler-core): change v-for key type to match Object.keys,packages/runtime-core/src/helpers/renderList.ts,1,general,,,
vuejs/core,10938,https://github.com/vuejs/core/pull/10938,2024-05-20T11:42:34Z,fix: correct the type of `<details>`'s `onToggle` event handler,packages/runtime-dom/src/jsx.ts,1,general,,,
vuejs/core,10825,https://github.com/vuejs/core/pull/10825,2024-04-29T03:47:40Z,fix(runtime-core): ensure slot compiler marker writable,packages/runtime-core/src/componentSlots.ts; packages/shared/src/general.ts,2,general,,,
vuejs/core,10603,https://github.com/vuejs/core/pull/10603,2024-06-10T08:09:47Z,fix(types): fix `app.provide` type checking,packages/dts-test/inject.test-d.ts; packages/runtime-core/src/apiCreateApp.ts,2,general,,,
vuejs/core,10599,https://github.com/vuejs/core/pull/10599,2024-04-02T08:36:52Z,fix(runtime-core): show hydration mismatch details for non-rectified mismatches too when __PROD_HYDRATION_MISMATCH_DETAILS__ is set,.gitignore; packages/runtime-core/src/hydration.ts,2,general,,,
vuejs/core,10482,https://github.com/vuejs/core/pull/10482,2024-04-15T14:37:17Z,fix: fn添加数组校验,packages/runtime-core/src/errorHandling.ts,1,general,,,
vuejs/core,10472,https://github.com/vuejs/core/pull/10472,2024-07-11T09:30:41Z,fix(repl): avoid duplicate formatter mounts,packages/runtime-core/src/customFormatter.ts; packages/sfc-playground/src/App.vue,2,general,,,
vuejs/core,10443,https://github.com/vuejs/core/pull/10443,2024-03-06T09:23:50Z,types: fix `scroll` event type; add support for `scrollend`,packages/runtime-dom/src/jsx.ts,1,general,,,
vuejs/core,10414,https://github.com/vuejs/core/pull/10414,2024-02-28T11:06:18Z,fix(warning): stringify args in warn handler,packages/runtime-core/src/warning.ts,1,general,,,
vuejs/core,10357,https://github.com/vuejs/core/pull/10357,2024-02-25T13:10:08Z,fix(runtime-core) better typing for direct setup,packages/runtime-core/src/apiDefineComponent.ts,1,general,,,
vuejs/core,10311,https://github.com/vuejs/core/pull/10311,2024-02-13T04:56:52Z,fix(runtime-dom): should not trigger transition when the old value and the new value of `v-show` are both `false`,packages/runtime-dom/src/directives/vShow.ts,1,general,,,
